accommodationId,amenityId
18349413,1
18349413,2
18349413,3
18349413,4
18349413,5
18349413,6
18349413,7
18349413,8
18349413,9
18349413,10
18349413,11
18349413,12
18349413,13
18349413,14
18349413,15
18349413,16
18349413,17
18349413,18
18349413,19
18349413,20
18349413,21
18349413,22
18349413,23
18349413,24
45718304,25
45718304,26
45718304,27
45718304,28
30504069,29
30504069,30
30504069,31
30504069,32
30504069,33
30504069,34
33955620,35
6850630,36
6850630,37
374792,38
374792,39
374792,40
374792,41
23769172,42
23769172,43
23769172,44
14624814,45
3581384,46
3581384,47
3581384,48
3581384,49
3581384,50
3581384,51
13759419,52
13759419,53
13759419,54
13759419,55
13759419,56
16842803,57
19323781,58
37614930,59
19925329,60
19925329,61
19925329,62
19925329,63
20080880,64
20080880,65
20080880,66
20080880,67
23691939,68
32519005,69
32519005,70
32519005,71
37362641,72
37362641,73
37362641,74
37362641,75
37362641,76
37362641,77
37362641,78
11211533,79
3048852,80
44679868,81
44070649,82
30555175,83
19718123,84
45683271,85
28078766,86
13405654,87
14838168,88
1276002,89
45281033,90
37523993,91
6104315,92
23721347,93
23721347,94
44319960,95
45378526,96
45378526,97
1173029,98
23750298,99
23750298,100
11013301,101
4798904,102
